"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,132,"MAC","Macao",1,"Ilhas",1,"Cotai","",NA,"","Freguesia","Parish","",""
2,132,"MAC","Macao",1,"Ilhas",2,"Nossa Senhora do Carmo","MO.IL.TA",NA,"","Freguesia","Parish","","Taipa"
3,132,"MAC","Macao",1,"Ilhas",3,"São Francisco Xavier","MO.IL.CO",NA,"","Freguesia","Parish","","Coloane"
4,132,"MAC","Macao",2,"Macau",4,"Nossa Senhora de Fátima","MO.MA.NF",NA,"","Freguesia","Parish","",""
5,132,"MAC","Macao",2,"Macau",5,"São Lázaro","MO.MA.SZ",NA,"","Freguesia","Parish","",""
6,132,"MAC","Macao",2,"Macau",6,"São Lourenço","MO.MA.SC",NA,"","Freguesia","Parish","",""
7,132,"MAC","Macao",2,"Macau",7,"Sé","MO.MA.SE",NA,"","Freguesia","Parish","",""
8,132,"MAC","Macao",2,"Macau",8,"Santo António","MO.MA.SA",NA,"","Freguesia","Parish","",""
