"","UserID","Monetary","Frequency","Recency","rankR","rankF","rankM","rankRMF","rankR1","rankF1","rankM1","rankRMF1","M_S","F_S","R_S","Custom"
"50",14617,9490,19,8,4,5,5,455,0.960591133004926,0.714285714285714,0.688015717092338,4.5,2,2,2,"高价值客户"
"51",14618,8174,14,8,4,3,4,434,0.960591133004926,0.476190476190476,0.584597249508841,3.7,2,2,2,"高价值客户"
"52",14619,5134,11,0,5,2,2,522,1,0.333333333333333,0.345697445972495,3.5,1,1,2,"一般发展客户"
"53",14620,5887,9,68,1,1,2,112,0.665024630541872,0.238095238095238,0.404872298624754,1.2,1,1,1,"潜在客户"
"54",14621,8382,16,12,4,4,5,445,0.940886699507389,0.571428571428571,0.600943025540275,4.2,2,2,2,"高价值客户"
"55",14622,5530,16,3,5,4,2,542,0.985221674876847,0.571428571428571,0.376817288801572,4.1,1,2,2,"重点保护客户"
"56",14623,7523,15,36,2,4,4,244,0.822660098522167,0.523809523809524,0.533438113948919,3,2,2,1,"重点保持客户"
"57",14624,5531,14,1,5,3,2,532,0.995073891625616,0.476190476190476,0.376895874263261,3.8,1,2,2,"重点保护客户"
"58",14625,5759,11,11,4,2,2,422,0.945812807881773,0.333333333333333,0.394813359528487,3,1,1,2,"一般发展客户"
"59",14626,7545,15,3,5,4,4,544,0.985221674876847,0.523809523809524,0.53516699410609,4.5,2,2,2,"高价值客户"
"60",14627,3809,8,165,1,1,1,111,0.187192118226601,0.19047619047619,0.241571709233792,1,1,1,1,"潜在客户"
"61",14628,6365,13,25,2,3,3,233,0.876847290640394,0.428571428571429,0.442436149312377,2.5,1,2,1,"一般保护客户"
"62",14629,5968,14,66,1,3,3,133,0.67487684729064,0.476190476190476,0.411237721021611,2,1,2,1,"一般保护客户"
"63",14630,5840,15,0,5,4,2,542,1,0.523809523809524,0.401178781925344,4.1,1,2,2,"重点保护客户"
"64",14631,6913,13,67,1,3,3,133,0.669950738916256,0.428571428571429,0.485500982318271,2,1,2,1,"一般保护客户"
"65",14632,5919,10,41,2,1,3,213,0.798029556650246,0.285714285714286,0.407387033398821,1.9,1,1,1,"潜在客户"
"66",14633,7994,12,48,1,2,4,124,0.763546798029557,0.380952380952381,0.570451866404715,1.9,2,1,1,"重点挽留客户"
"67",14634,6171,14,91,1,3,3,133,0.551724137931034,0.476190476190476,0.427190569744597,2,1,2,1,"一般保护客户"
"68",14635,5941,14,1,5,3,3,533,0.995073891625616,0.476190476190476,0.409115913555992,4,1,2,2,"重点保护客户"
"69",14636,5997,14,37,2,3,3,233,0.817733990147783,0.476190476190476,0.413516699410609,2.5,1,2,1,"一般保护客户"
"70",14637,6655,17,41,2,5,3,253,0.798029556650246,0.619047619047619,0.465225933202358,3.1,1,2,1,"一般保护客户"
"71",14638,5818,12,93,1,2,2,122,0.541871921182266,0.380952380952381,0.399449901768173,1.5,1,1,1,"潜在客户"
"72",14639,4996,9,4,5,1,2,512,0.980295566502463,0.238095238095238,0.334852652259332,3.2,1,1,2,"一般发展客户"
"73",14640,6319,13,8,4,3,3,433,0.960591133004926,0.428571428571429,0.438821218074656,3.5,1,2,2,"重点保护客户"
"74",14641,4011,9,3,5,1,1,511,0.985221674876847,0.238095238095238,0.257445972495088,3,1,1,2,"一般发展客户"
"75",14642,7133,14,46,1,3,4,134,0.773399014778325,0.476190476190476,0.50278978388998,2.2,2,2,1,"重点保持客户"
"76",14643,9797,21,9,4,5,5,455,0.955665024630542,0.80952380952381,0.712141453831041,4.5,2,2,2,"高价值客户"
"77",14644,9469,22,35,2,5,5,255,0.827586206896552,0.857142857142857,0.686365422396857,3.5,2,2,1,"重点保持客户"
"78",14645,7005,12,2,5,2,3,523,0.990147783251232,0.380952380952381,0.492730844793713,3.7,1,1,2,"一般发展客户"
"79",14646,13033,25,25,2,5,5,255,0.876847290640394,1,0.966444007858546,3.5,2,2,1,"重点保持客户"
"80",14647,8549,14,20,3,3,5,335,0.901477832512315,0.476190476190476,0.614066797642436,3.4,2,2,1,"重点保持客户"
"81",14648,6805,14,30,2,3,3,233,0.852216748768473,0.476190476190476,0.477013752455796,2.5,1,2,1,"一般保护客户"
"82",14649,735,5,31,2,1,1,211,0.847290640394089,0.0476190476190476,0,1.5,1,1,1,"潜在客户"
"83",14650,3074,6,47,1,1,1,111,0.768472906403941,0.0952380952380952,0.183811394891945,1,1,1,1,"潜在客户"
"84",14651,6368,16,17,3,4,3,343,0.916256157635468,0.571428571428571,0.442671905697446,3.3,1,2,1,"一般保护客户"
"85",14652,4655,11,33,2,2,1,221,0.83743842364532,0.333333333333333,0.308055009823183,1.8,1,1,1,"潜在客户"
"86",14653,3607,9,18,3,1,1,311,0.911330049261084,0.238095238095238,0.225697445972495,2,1,1,1,"潜在客户"
"87",14654,8260,14,82,1,3,4,134,0.596059113300493,0.476190476190476,0.591355599214145,2.2,2,2,1,"重点保持客户"
"88",14655,8763,20,21,3,5,5,355,0.896551724137931,0.761904761904762,0.630884086444008,4,2,2,1,"重点保持客户"
"89",14656,5421,11,5,5,2,2,522,0.975369458128079,0.333333333333333,0.368251473477407,3.5,1,1,2,"一般发展客户"
"90",14657,7048,16,38,2,4,4,244,0.812807881773399,0.571428571428571,0.496110019646365,3,2,2,1,"重点保持客户"
"91",14658,6883,9,65,1,1,3,113,0.679802955665025,0.238095238095238,0.483143418467584,1.4,1,1,1,"潜在客户"
"92",14659,5020,12,32,2,2,2,222,0.842364532019704,0.380952380952381,0.336738703339882,2,1,1,1,"潜在客户"
"93",14660,4346,6,95,1,1,1,111,0.532019704433498,0.0952380952380952,0.2837721021611,1,1,1,1,"潜在客户"
"94",14661,7217,10,74,1,1,4,114,0.635467980295567,0.285714285714286,0.509390962671906,1.6,2,1,1,"重点挽留客户"
"95",14662,4405,10,26,2,1,1,211,0.87192118226601,0.285714285714286,0.288408644400786,1.5,1,1,1,"潜在客户"
