Class,percent,Obama,m,McCain
18-24,0.10,0.66,0.02,0.32
25-29 ,0.08,0.66,0.03,0.31
30-39,0.18,0.54,0.02,0.44
40-49,0.21,0.49,0.02,0.49
50-64,0.26,0.50,0.01,0.49
65+  ,0.17,0.45,0.02,0.53
